Episode at step 649
Trajectory length: 26
Total return: -1.0000
Success: False
============================================================

Timestep   Reward       MC Return   
------------------------------------------------------------
0          0.0000       -0.2773895859718323
1          0.0000       -0.2919890284538269
2          0.0000       -0.3073568642139435
3          0.0000       -0.3235335350036621
4          0.0000       -0.3405616283416748
5          0.0000       -0.3584859371185303
6          0.0000       -0.37735360860824585
7          0.0000       -0.3972143232822418
8          0.0000       -0.4181203246116638
9          0.0000       -0.4401266574859619
10         0.0000       -0.4632912278175354
11         0.0000       -0.4876749813556671
12         0.0000       -0.5133420825004578
13         0.0000       -0.5403600931167603
14         0.0000       -0.5688000917434692
15         0.0000       -0.5987369418144226
16         0.0000       -0.6302493810653687
17         0.0000       -0.6634204387664795
18         0.0000       -0.6983373165130615
19         0.0000       -0.7350918650627136
20         0.0000       -0.7737809419631958
21         0.0000       -0.8145062327384949
22         0.0000       -0.8573750257492065
23         0.0000       -0.9024999737739563
24         0.0000       -0.949999988079071
25         -1.0000      -1.0        
